,county,state,lat,lon
8384,Liberty,Georgia,31.828096321924686,-81.49473353919453
8388,Madison,Georgia,34.12779136251007,-83.20904003159454
8391,Morgan,Georgia,33.590926473090455,-83.49227740570005
8398,Pierce,Georgia,31.35877450963453,-82.21276744058004
8411,Washington,Georgia,32.969539599192565,-82.79593470901902
8612,Knox,Maine,44.155983665546565,-69.2340454591785
8627,Garrett,Maryland,39.52860387466052,-79.27382524774949
8632,Queen Anne's,Maryland,39.06808180872892,-76.02019117696584
8874,Cayuga,New York,42.91750620788728,-76.55450960138852
8900,Oswego,New York,43.42693251559956,-76.1413625458372
8901,Otsego,New York,42.63376255470059,-75.03259838395725
8920,Alamance,North Carolina,36.04373540609223,-79.39945477404711
8959,Vance,North Carolina,36.36489977965757,-78.40793059165995
9057,Cambria,Pennsylvania,40.495278105882015,-78.71372408683372
9092,Chester,South Carolina,34.69204414209376,-81.15952910386554
9101,Georgetown,South Carolina,33.434255045539096,-79.33240320037832
9112,Oconee,South Carolina,34.75347795296913,-83.06583753975688
9248,Danville city,Virginia,36.58308585104653,-79.40877664118226
9269,Rockbridge,Virginia,37.81360321551061,-79.44653628866313
9568,Baker,Georgia,31.32614484748789,-84.44470650536948
9572,Ben Hill,Georgia,31.75978063393737,-83.22049755101771
9574,Bryan,Georgia,32.01447669389111,-81.44364126036879
9577,Camden,Georgia,30.93057183931489,-81.66998613350515
9589,Colquitt,Georgia,31.188378394891487,-83.76881879206167
9592,Crisp,Georgia,31.92293498479432,-83.7680666684524
9599,Fannin,Georgia,34.864092329059154,-84.31980507560064
9606,Greene,Georgia,33.57883713279124,-83.16667649012169
9613,Irwin,Georgia,31.60224386041202,-83.2763667955238
9614,Jasper,Georgia,33.316543163235224,-83.68797352289073
9622,Macon,Georgia,32.35768119434322,-84.04255797824347
9624,Meriwether,Georgia,33.0406847645878,-84.6882961283545
9626,Mitchell,Georgia,31.22532489664376,-84.19429763004578
9637,Pulaski,Georgia,32.23226930651704,-83.47597860261324
9641,Seminole,Georgia,30.938791458641774,-84.86884301434846
9643,Stephens,Georgia,34.55396522269205,-83.29347004885125
9885,Waldo,Maine,44.50706490377882,-69.15071101467599
10160,Chemung,New York,42.141264533103175,-76.7600292212066
10186,Orleans,New York,43.25208587580208,-78.23121605526181
10233,Montgomery,North Carolina,35.33247535620867,-79.90548726278568
10241,Randolph,North Carolina,35.710347455516626,-79.806016587826
10247,Transylvania,North Carolina,35.20209524048515,-82.79825456239664
10351,Armstrong,Pennsylvania,40.81231246448679,-79.4645312707341
10354,Bradford,Pennsylvania,41.78870546516289,-76.51538866293764
10358,Carbon,Pennsylvania,40.91818469050452,-75.7088178571857
10361,Clearfield,Pennsylvania,41.00017483143101,-78.47414457652481
10369,Juniata,Pennsylvania,40.5310623665071,-77.40218380122677
10384,Somerset,Pennsylvania,39.97247637021558,-79.02826697682552
10397,Chesterfield,South Carolina,34.639800188065266,-80.15874425866845
10570,Chesapeake city,Virginia,36.67780099541548,-76.3023825377314
10579,Halifax,Virginia,36.76690108531805,-78.93662130790945
